,Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,source,Item_Type_Combined,years
0,Low Fat,FDA15,249.8092,3735.138,0.016047301,9.3,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
1,Regular,DRC01,48.2692,443.4228,0.019278216,5.92,OUT018,Tier 3,Medium,Supermarket Type2,train,Drinks,4
2,Low Fat,FDN15,141.618,2097.27,0.016760075,17.5,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
3,Regular,FDX07,182.095,732.38,0.017834337888888892,19.2,OUT010,Tier 3,Small,Grocery Store,train,Food,15
4,Non-Edible,NCD19,53.8614,994.7052,0.009779828555555557,8.93,OUT013,Tier 3,High,Supermarket Type1,train,Non-consumable,26
5,Regular,FDP36,51.4008,556.6088,0.057058688875,10.395,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
6,Regular,FDO10,57.6588,343.5528,0.012741088999999999,13.65,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
7,Low Fat,FDP10,107.7622,4022.7636,0.127469857,19.0,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
8,Regular,FDH17,96.9726,1076.5986,0.016687114,16.2,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
9,Regular,FDU28,187.8214,4710.535,0.09444959,19.2,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
10,Low Fat,FDY07,45.5402,1516.0266,0.040626524444444444,11.8,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
11,Regular,FDA03,144.1102,2187.153,0.045463773,18.5,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
12,Regular,FDX32,145.4786,1589.2646,0.1000135,15.1,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
13,Regular,FDS46,119.6782,2145.2076,0.047257328,17.6,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
14,Low Fat,FDF32,196.4426,1977.4260000000002,0.06802430000000001,16.35,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
15,Regular,FDP49,56.3614,1547.3192,0.06908896099999999,9.0,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
16,Non-Edible,NCB42,115.3492,1621.8888,0.008596051,11.8,OUT018,Tier 3,Medium,Supermarket Type2,train,Non-consumable,4
17,Regular,FDP49,54.3614,718.3982,0.06919637599999999,9.0,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
18,Low Fat,DRI11,113.2834,2303.6679999999997,0.034237682,8.26,OUT027,Tier 3,Medium,Supermarket Type3,train,Drinks,28
19,Low Fat,FDU02,230.5352,2748.4224,0.10249212,13.35,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
20,Regular,FDN22,250.8724,3775.086,0.138190277,18.85,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
21,Regular,FDW12,144.5444,4064.0432,0.035399923,8.315,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
22,Non-Edible,NCB30,196.5084,1587.2672,0.025698133999999997,14.6,OUT035,Tier 2,Small,Supermarket Type1,train,Non-consumable,9
23,Low Fat,FDC37,107.6938,214.3876,0.057556998,15.5,OUT019,Tier 1,Small,Grocery Store,train,Food,28
24,Regular,FDR28,165.021,4078.025,0.025896485,13.85,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
25,Non-Edible,NCD06,45.906000000000006,838.908,0.099887103,13.0,OUT017,Tier 2,Small,Supermarket Type1,train,Non-consumable,6
26,Regular,FDV10,42.3112,1065.28,0.06669343700000001,7.645,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
27,Low Fat,DRJ59,39.1164,308.9312,0.019356131999999998,11.65,OUT013,Tier 3,High,Supermarket Type1,train,Drinks,26
28,Regular,FDE51,45.5086,178.4344,0.161466534,5.925,OUT010,Tier 3,Small,Grocery Store,train,Food,15
29,Regular,FDC14,43.6454,125.8362,0.072221801,14.5,OUT019,Tier 1,Small,Grocery Store,train,Food,28
30,Low Fat,FDV38,55.7956,163.7868,0.17034855100000001,19.25,OUT010,Tier 3,Small,Grocery Store,train,Food,15
31,Non-Edible,NCS17,96.4436,2741.7644,0.080829372,18.6,OUT018,Tier 3,Medium,Supermarket Type2,train,Non-consumable,4
32,Low Fat,FDP33,256.6672,3068.0064,0.0930934742,18.7,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
33,Low Fat,FDO23,93.1436,2174.5028,0.14246229066666669,17.85,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
34,Low Fat,DRH01,174.8738,2085.2856,0.097904029,17.5,OUT046,Tier 1,Small,Supermarket Type1,train,Drinks,16
35,Non-Edible,NCX29,146.7102,3791.0652,0.08929113699999999,10.0,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-consumable,14
36,Regular,FDV20,128.0678,2797.6916,0.059511812000000004,20.2,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
37,Regular,DRZ11,122.5388,1609.9044,0.113123893,8.85,OUT018,Tier 3,Medium,Supermarket Type2,train,Drinks,4
38,Regular,FDX10,36.9874,388.1614,0.12311145300000001,6.384999999999999,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
39,Low Fat,FDB34,87.6198,2180.495,0.026480953999999998,15.25,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
40,Low Fat,FDU02,230.6352,3435.528,0.102511504,13.35,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
41,Low Fat,FDK43,126.00200000000001,2150.534,0.02681843,9.8,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
42,Low Fat,FDA46,192.9136,2527.3768,0.117818348,13.6,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
43,Low Fat,FDC02,259.9278,6768.5228,0.06910283099999999,21.35,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
44,Regular,FDL50,126.5046,373.5138,0.042277867000000004,12.15,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
45,Low Fat,FDM39,178.1002,358.2004,0.08949892599999999,6.42,OUT010,Tier 3,Small,Grocery Store,train,Food,15
46,Non-Edible,NCP05,153.3024,2428.8384,0.018756953777777776,19.6,OUT045,Tier 2,Small,Supermarket Type1,train,Non-consumable,11
47,Low Fat,FDV49,265.2226,5815.0972,0.025879577,10.0,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
48,Regular,FDL12,60.622,2576.646,0.121632721,15.85,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
49,Regular,FDS02,196.8794,780.3176,0.25539489600000004,10.195000000000002,OUT019,Tier 1,Small,Grocery Store,train,Food,28
50,Non-Edible,NCL17,143.8812,3134.5864,0.067779712,7.39,OUT046,Tier 1,Small,Supermarket Type1,train,Non-consumable,16
51,Low Fat,FDM40,141.5154,850.8924,0.159803853,10.195,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
52,Regular,FDR13,117.0492,810.9444,0.028696932,9.895,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
53,Low Fat,FDA43,196.3794,3121.2704,0.065041581,10.895,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
54,Non-Edible,NCP18,151.4708,4815.0656,0.028760012999999997,12.15,OUT017,Tier 2,Small,Supermarket Type1,train,Non-consumable,6
55,Low Fat,FDK21,249.0408,6258.52,0.010053105,7.905,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
56,Non-Edible,NCX54,106.1622,2117.244,0.048157338,9.195,OUT045,Tier 2,Small,Supermarket Type1,train,Non-consumable,11
57,Low Fat,DRK35,38.0506,796.9626,0.071958197,8.365,OUT049,Tier 1,Medium,Supermarket Type1,train,Drinks,14
58,Low Fat,FDY21,194.511,4910.275,0.17348130399999998,15.1,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
59,Low Fat,FDI26,180.0344,892.172,0.061082177,5.9399999999999995,OUT019,Tier 1,Small,Grocery Store,train,Food,28
60,Low Fat,FDM20,246.9144,3185.1872,0.0364918673,10.0,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
61,Regular,FDV27,87.3514,1062.6168,0.040071131,7.97,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
62,Low Fat,FDF09,38.2848,484.7024,0.012090074,6.215,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
63,Regular,FDY40,51.0692,147.8076,0.15028599,15.5,OUT019,Tier 1,Small,Grocery Store,train,Food,28
64,Low Fat,FDY45,255.8356,2543.356,0.026015518999999997,17.5,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
65,Low Fat,FDC46,185.4266,184.4266,0.195068226,17.7,OUT010,Tier 3,Small,Grocery Store,train,Food,15
66,Low Fat,FDH19,172.5738,4865.6664,0.033082215,19.35,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
67,Regular,FDZ03,186.024,1118.5439999999999,0.078946455,13.65,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
68,Low Fat,DRH37,164.8526,2302.3364,0.041700756,17.6,OUT045,Tier 2,Small,Supermarket Type1,train,Drinks,11
69,Non-Edible,NCI17,95.84100000000001,2027.361,0.14342264300000002,8.645,OUT046,Tier 1,Small,Supermarket Type1,train,Non-consumable,16
70,Regular,FDJ58,170.1764,3435.528,0.10529607199999999,15.6,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
71,Regular,FDL12,59.222,599.22,0.121531501,15.85,OUT013,Tier 3,High,Supermarket Type1,train,Food,26
72,Low Fat,FDH35,164.7526,4604.6728,0.05810121044444445,18.25,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
73,Low Fat,FDG02,189.6188,2285.0256,0.011324862,7.855,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
74,Non-Edible,NCZ18,254.3698,5580.7356,0.186357148,7.825,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-consumable,14
75,Regular,FDC29,114.0176,2290.3520000000003,0.024205661,8.39,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
76,Low Fat,FDQ10,172.3422,1207.0954,0.033230816,12.85,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
77,Low Fat,FDN48,89.9804,643.1628,0.113720344,13.349999999999998,OUT019,Tier 1,Small,Grocery Store,train,Food,28
78,Low Fat,FDL04,104.9622,1587.933,0.11255650699999999,19.0,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
79,Low Fat,FDV25,222.5456,5305.0944,0.04441604033333333,5.905,OUT045,Tier 2,Small,Supermarket Type1,train,Food,11
80,Low Fat,FDD58,101.87,1697.79,0.05935224099999999,7.76,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
81,Regular,FDN04,180.3344,1427.4752,0.014087057,11.8,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
82,Low Fat,FDV45,187.9556,4693.89,0.045230944,16.75,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,4
83,Non-Edible,NCL18,194.6136,583.2408,0.293417759,18.849999999999998,OUT019,Tier 1,Small,Grocery Store,train,Non-consumable,28
84,Regular,FDR12,171.3764,3091.9752,0.031382044,12.599999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
85,Regular,FDG20,177.0028,2479.4392,0.12639886,15.5,OUT017,Tier 2,Small,Supermarket Type1,train,Food,6
86,Low Fat,FDZ55,160.99200000000002,2716.4640000000004,0.025403897999999998,6.055,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
87,Regular,FDQ49,155.963,3285.723,0.039057677,20.2,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,28
88,Regular,FDN33,95.6436,661.8052,0.123115764,6.305,OUT046,Tier 1,Small,Supermarket Type1,train,Food,16
89,Low Fat,FDN27,117.2808,1523.3504,0.039624006,20.85,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,14
90,Low Fat,FDW20,122.17299999999999,369.519,0.040421193,20.75,OUT010,Tier 3,Small,Grocery Store,train,Food,15
91,Low Fat,DRG27,39.9138,690.4346,0.10527411099999999,8.895,OUT049,Tier 1,Medium,Supermarket Type1,train,Drinks,14
92,Low Fat,DRI25,55.1614,1381.535,0.033970195,19.6,OUT045,Tier 2,Small,Supermarket Type1,train,Drinks,11
93,Low Fat,FDA44,57.893,622.523,0.053212652,19.7,OUT035,Tier 2,Small,Supermarket Type1,train,Food,9
